فتسامع بها~87#3682#280#169
فتسبيه فإذا~83#2826#87#55
فتستجيب له~87#3468#76#402
فتستجيب لي~87#3130#333#64
فتستحي منه~81#1908#130#10
فتستحيى منه~2#24#67#22
فتستدل به~85#2992#153#138
فتستدل بها~82#2046#26#133
فتستنير ثم~87#3137#305#71
فتستوحش ولا~85#2983#168#129
فتسقط من~81#1934#92#36,87#3471#201#405,90#4398#259#413
فتسقطوا عن~82#2097#273#184
فتسكروا عن~82#2359#216#446
فتسكن إليه~25#270#93#45
فتسلطت عليهم~87#3363#149#297
فتسم ولا~85#2991#135#137
فتسود كما~83#2802#127#31
فتسور عليه~87#3230#429#164,37#443#38#51
فتسيء إليه~52#1539#213#53
فتش ذلك~87#3322#133#256
فتشابه الخلق~39#726#88#45
فتشام في~87#3905#102#392
فتشتري كل~87#3934#276#421
فتشتري له~87#3975#439#462
فتشتغل النفس~37#438#70#46
فتشد على~87#3379#63#313
فتشديد هو~31#373#30#33
فتشربه وقد~82#2660#141#295
فتشرف على~44#1442#147#46,87#3512#257#446,90#4373#132#388
فتشرف عليهم~42#1345#56#10
فتشرفه إلى~87#3574#309#61
فتشغله به~82#2007#40#94
فتشفع لي~90#4493#159#508
فتشفعي لي~90#4259#165#265
فتشق على~87#3822#151#309
فتشقيا لأن~82#2364#102#451
فتشكره على~90#4306#208#312
فتشكل حتى~83#2846#166#75
فتشها لا~82#2586#215#221
فتشهد عليه~87#3208#313#142,87#3423#168#357
فتشوا عليه~78#1880#13#53
فتشير إليه~86#3005#15#151
فتصاول عند~11#147#190#48
فتصدق بعضهم~87#3970#303#457
فتصدق به~46#1495#49#67,46#1495#56#67,87#3951#323#438
فتصدقت به~87#3784#85#271
فتصدني أنا~85#2978#31#124
فتصرف عن~82#2370#238#5
فتصرفك إلى~86#3022#107#168
فتصرفوا فيها~87#3539#254#26
فتصعد بها~87#3783#48#270
فتصفو عند~25#231#25#6
فتصلي عليه~87#3173#208#107,87#3629#618#116
فتصلي فيه~90#4354#32#369
فتصور في~87#3538#339#25
فتصير هذه~70#1816#94#63
فتضيعوها ولا~41#949#169#38
فتطلب به~82#2165#241#252
فتطلب نفسه~87#3374#158#308
فتطمئن به~86#3010#109#156
فتظرفت أن~90#4434#218#449
فتظلموها ولا~87#3333#241#267
فتظلموهافبصبصت إليه~41#949#173#38
فتظهر عليه~82#2197#13#284
فتعاتب ثم~82#2073#31#160
فتعال فإذا~90#4539#158#554
فتعالجت من~87#3553#61#40
فتعالى الله~82#2405#39#40,87#3090#16#24,90#4188#40#194
فتعاونا على~83#2813#162#42,87#3628#219#115
فتعبد لي~85#2935#43#81
فتعبره وقال~85#2866#51#12
فتعبره ولا~85#2989#160#135
