استقررت لك~86#3072#41#218
استقرض أحمد~41#1007#50#96
استقرضت من~87#3804#239#291
استقروا في~82#2570#126#205
استقري ما~67#1776#186#42
استقصاء ذلك~71#1823#126#132
استقصاء في~90#4516#191#531
استقصى في~87#3961#250#448
استقصيت ذلك~45#1478#128#352
استقصيت في~45#1476#37#350
استقطعتم عن~82#2142#96#229
استقطعه ما~82#2017#53#104
استقل به~87#3086#35#20
استقلالا إلى~7#134#85#23
استقم قال~87#3237#472#171
استقم وقال~38#660#35#128
استقمباب في~42#1343#139#8
استقمتقوله عز~82#2581#71#216
استقيت سمعت~90#4540#171#555
استكان العبد~90#4455#56#470
استكبارا على~82#2403#119#38
استكبرت قال~61#1703#85#190
استكبروا أن~82#2395#181#30
استكبروا من~87#3165#67#99
استكثر له~87#3957#235#444
استكثر ما~82#2355#153#442
استكثرت أو~87#3997#368#484
استكثروا من~87#3711#50#198,87#3716#395#203
استكثروا منه~87#3913#311#400
استكشاف ذلك~87#3318#250#252
استكشاف لما~82#2714#113#349
استكفاه لا~25#272#61#47
استكفيتقال وقال~41#1132#103#221
استكفيته كل~25#272#80#47
استكمل العبد~87#3457#331#391
استكن في~7#123#92#12,87#3151#186#85
استلبها من~83#2821#23#50
استماع إلى~82#2132#157#219
استماع من~82#2132#170#219,82#2132#181#219
استماع هذا~20#192#57#157
استماعه إلا~82#2095#243#182
استماعه قال~87#3348#64#282
استماعه ولا~38#655#69#120
استمتعت بها~87#3930#356#417
استمد العبد~85#2965#90#111
استمد من~85#2965#109#111
استمع إلى~87#3138#220#72,87#3177#319#111
استمع إليه~87#3177#441#111
استمعوا له~82#2165#147#252
استمكن من~37#523#95#132,41#943#8#32,41#943#18#32
استمكنت منها~37#520#94#129
استناده إلى~41#1188#63#277,90#4115#97#121
استنار في~83#2831#187#60
استناره فهو~39#716#30#35
استنامة إلى~90#4567#169#582
استنباطا من~87#3567#1065#54
استنبطته من~62#1719#36#71
استنبطنا ذلك~87#3476#166#410,87#3492#133#426
استنجدوا لم~90#4438#1#453
استنجى به~90#4516#90#531
استندت إلى~86#3052#2#198
استندت على~87#3997#227#484
استنزلهم النبي~39#795#55#114
استنسخ منه~87#3524#5#11
استنصرهقوله تعالى~82#2612#45#247
استنصرهوقال بعضهم~82#2394#137#29
استنصروكم في~87#3169#185#103
استنقذهم من~67#1759#94#25
استنقصوني فيه~34#417#0#111
استنكافا منه~87#3754#108#241
استنكفت إن~87#3935#84#422
استهان بها~26#329#20#18
استهلاك العبد~90#4151#227#157,90#4157#71#163
استهلاك في~90#4478#62#493
استهلاك لا~41#1278#152#367
استهلال في~82#2071#172#158
استواء الخلق~82#2497#164#132
استواء القلب~41#1239#90#328
استواء ما~87#3558#14#45
استواؤها في~87#3100#134#34,87#3114#623#48
استوائهما ثم~87#3466#230#400
استوت لك~90#4217#221#223
استوثقوا من~76#1860#2#224
استوجب ذلك~87#3519#45#6,39#719#70#38
استوجب منه~82#2013#38#100
استوجبت فيه~87#3222#232#156
استوجبهأخبرني محمد~90#4015#40#21
استوحش من~41#1162#13#251,41#1210#24#299,85#2981#19#127,87#3777#118#264,40#867#74#63,41#938#4#27
استوحش منه~87#3299#0#233,87#3847#95#334,90#4497#123#512
استوحشت من~87#3240#286#174
استودع الحق~82#2271#3#358,82#2272#18#359
استودعته من~85#2922#20#68
استوطنه العبد~87#3242#305#176
استوطنوه من~25#314#105#89
استوعب القلب~87#3419#2#353
استوعب ذلك~87#3082#202#16
استوعر منه~87#3298#406#232
استوفاني من~82#2118#125#205
استوفوا منه~87#3821#368#308
استوفى العبد~90#4357#227#372
استولت على~64#1736#149#191,82#2147#167#234,83#2816#130#45
استولت عليه~41#1116#53#205,82#2157#26#244,90#4096#84#102
استولى على~41#1197#6#286,82#1978#67#65,82#2135#59#222,87#3645#366#132,90#4373#115#388,39#776#43#95,39#797#155#117
استولى عليه~82#2339#111#426,82#2555#194#190,25#296#67#71,87#3685#111#172,90#4165#25#171,90#4510#100#525
استولى عليهم~8#136#163#27,9#140#174#34,10#145#262#43
استولى كان~9#139#203#33
استولى من~82#1980#10#67
استوليت على~85#2984#194#130
استوليت يا~86#3051#30#197
استووا في~87#3271#199#205,37#478#195#86
