الشكوكأو يكون~39#808#88#129
الشكوكوقال أبو~82#2782#148#417
الشكوى إلى~41#1038#93#127,41#1225#67#314,82#2468#19#103
الشكوى ثم~41#1049#47#138
الشكوى عن~82#2497#8#132
الشكوى فلا~90#4321#224#327
الشكوى في~82#1988#215#75
الشكوى قال~87#3400#80#334
الشكوى من~41#1235#182#324,87#3557#122#44
الشكوى وهو~91#4617#33#49
الشكوىقال أبو~82#2493#228#128
الشكوىقال وقال~41#1061#24#150
الشكوىوقال أبو~41#1259#77#348
الشلبي في~90#4168#9#174
الشلبي كان~90#4360#53#375
الشلبي من~90#4168#18#174
الشمال أن~87#3084#172#18
الشمال بعد~87#3668#1#155
الشمال ثم~83#2805#161#34
الشمال مع~87#3424#146#358
الشمال ولا~56#1576#117#79
الشمال وهو~87#3386#93#320,87#3424#106#358
الشمس أو~85#2928#145#74,87#3184#61#118
الشمس أي~87#3265#21#199
الشمس إذا~82#2317#256#404,82#2318#69#405,25#295#156#70,87#3107#507#41,87#3112#280#46,87#3112#315#46,87#3186#378#120,87#3461#159#395
الشمس إلا~87#3098#48#32
الشمس إلى~87#3078#176#12,87#3113#110#47
الشمس التي~82#2427#61#62
الشمس بين~87#3114#696#48
الشمس ثم~87#3113#303#47
الشمس حتى~87#3100#195#34
الشمس على~87#3113#392#47,87#3114#183#48,87#3114#508#48,87#3114#601#48,90#4109#85#115
الشمس عليه~82#2427#103#62,87#3097#61#31,87#3097#97#31,87#3102#333#36,87#3112#29#46,87#3113#215#47,87#3114#106#48,87#3114#366#48,90#4545#24#560
الشمس فإذا~87#3605#72#92
الشمس فإن~87#3100#34#34
الشمس فقال~46#1490#118#62,87#3116#57#50
الشمس فقد~87#3114#583#48,87#3114#595#48,87#3761#62#248
الشمس فلا~87#3117#299#51
الشمس فهو~87#3193#179#127
الشمس في~20#192#119#157,82#2747#47#382,87#3094#470#28,87#3100#112#34,87#3100#140#34,87#3104#143#38,87#3113#462#47,87#3114#3#48,87#3114#58#48,87#3114#118#48,87#3114#253#48,87#3114#263#48,87#3114#318#48,87#3114#378#48,87#3115#346#49,87#3183#378#117,87#3195#50#129,87#3454#279#388,87#3954#204#441
الشمس قال~46#1490#126#62,87#3114#50#48,87#3114#310#48
الشمس كان~87#3120#231#54
الشمس كل~87#3112#123#46
الشمس كما~87#3138#56#72,87#3612#257#99
الشمس لأن~87#3102#368#36
الشمس لم~87#3113#85#47,87#3114#611#48,87#3577#343#64
الشمس ما~87#3155#233#89
الشمس من~86#3067#16#213,87#3108#375#42,87#3113#195#47,87#3378#339#312,87#3703#203#190,87#3716#190#203,87#3767#8#254,87#3767#186#254
الشمس وفي~87#3098#207#32,87#3098#371#32,87#3098#392#32
الشمس وقال~87#3514#273#448
الشمس وقد~41#1173#46#262
الشمس ولا~87#3155#211#89
الشمس ومن~87#3102#153#36,87#3949#312#436
الشمس وهو~87#3097#24#31,87#3097#49#31,87#3102#268#36,87#3107#542#41,87#3108#304#42
الشمس, فقال~90#4048#125#54
الشناعة ما~70#1806#4#53,70#1815#13#62
الشهادات من~78#1873#58#46
الشهادة أن~85#2921#20#67,87#3844#36#331,87#3896#304#383
الشهادة إلا~82#2005#192#92,87#3285#149#219,87#3617#57#104
الشهادة إن~58#1612#36#13
الشهادة ثم~90#4312#107#318,90#4312#191#318
الشهادة على~87#3453#376#387,30#356#198#16,90#4456#63#471
الشهادة عن~87#3688#263#175
الشهادة عند~87#3743#356#230
الشهادة فهو~87#3288#181#222,87#3614#383#101
الشهادة كان~30#357#215#17
الشهادة لا~82#2525#96#160,87#3488#148#422,87#3659#490#146
الشهادة لله~82#2004#8#91
الشهادة ما~82#2005#5#92
الشهادة من~27#333#36#31
الشهادتين قال~90#4399#183#414
الشهد سمعت~90#4484#78#499
الشهداء ثم~87#3436#131#370
الشهداء حتى~87#3606#290#93
الشهداء على~87#3363#380#297
الشهداء عليه~87#3624#66#111
الشهداء فقال~87#3785#99#272
الشهداء في~87#3986#136#473
الشهداء لأن~87#3313#90#247
الشهداء لما~90#4565#38#580
الشهداء وفي~87#3307#76#241
الشهداء وقد~87#3502#215#436
الشهداء يا~87#3093#441#27
الشهر إلى~87#3748#120#235
الشهر ذلك~87#3187#33#121
الشهر على~82#1983#223#70
الشهر في~87#3937#184#424
الشهر كان~87#3547#31#34
الشهر لا~87#3424#284#358
الشهر وقد~87#3547#18#34
الشهر ومن~87#3110#45#44
الشهر يكون~87#3690#144#177
الشهرة فقال~90#4527#64#542
الشهرة فقد~87#3777#50#264
الشهرة لما~90#4527#68#542
الشهرة ما~46#1502#22#74
الشهرة من~87#3185#185#119
الشهرين كان~87#3689#305#176
الشهم من~71#1836#140#145
الشهوات أو~25#243#68#18,87#3298#330#232,87#3400#290#334
الشهوات إذا~60#1684#150#482
الشهوات إلا~83#2814#179#43,90#4268#114#274
الشهوات التي~83#2804#161#33,83#2814#171#43,87#3492#353#426
الشهوات ثم~83#2814#38#43,83#2814#192#43,87#3808#62#295,87#3808#304#295
الشهوات حتى~83#2814#221#43,83#2823#86#52
الشهوات سمعت~81#1907#111#9,90#4482#120#497
الشهوات على~82#2605#205#240
الشهوات عليه~87#3926#339#413
الشهوات فإذا~41#1092#179#181,87#3400#315#334
الشهوات فإن~87#3806#10#293,90#4569#7#584
الشهوات فقد~83#2814#146#43,87#3808#71#295
