bigram1.txt#$يقول إن,أن أشتهى
bigram2.txt#أن أشدك,إذا ساكنوا
bigram3.txt#إذا سال,استقررت في
bigram4.txt#استقررت لك,الحسد في
bigram5.txt#الحسد قال,الشكوك ومن
bigram6.txt#الشكوكأو يكون,الله النبوة
bigram7.txt#الله النبي,النفس ومنهم
bigram8.txt#النفس وموافقة,بغيره إن
bigram9.txt#بغيره الحق,تصبر في
bigram10.txt#تصبر له,حدثنا آدم
bigram11.txt#حدثنا أبان,زوجة أبي
bigram12.txt#زوجة أحمد,عصى الله
bigram13.txt#عصى بعد,عن الملموس
bigram14.txt#عن المملكة,فتسارعت حتى
bigram15.txt#فتسامع بها,في الكتابة
bigram16.txt#في الكتابوقيل,قد أضر
bigram17.txt#قد أضرني,لا تزول
bigram18.txt#لا تزولأنشدونا,له الخضر
bigram19.txt#له الخلق,محمودا في
bigram20.txt#محمودا ولا,من سالكي
bigram21.txt#من سامرا,هذا زجر
bigram22.txt#هذا زمان,والصابرين في
bigram23.txt#والصاحب في,وطاب له
bigram24.txt#وطاب من,وما أضلنا
bigram25.txt#وما أظن,يدب في
bigram26.txt#يدبر أو,— من
