ليعذبهم وأنت فيهم وما~87#3385#229#319
ليعرف أهل المشهد محله~82#2345#241#432
ليعرف الخلق إهانتها فلا~82#2540#193#175
ليعرف به فمن أجل~87#3358#130#292
ليعرف بها الداعي وليدع~87#3147#398#81
ليعرف ربه لا ليحصل~90#4559#304#574
ليعرف مقداره فهذا قد~87#3850#353#337
ليعرفوا أقربه منهم لأن~82#2667#200#302
ليعرفوا تحقيق السلوك في~55#1570#25#148
ليعرفوا قدر ما هم~82#2711#32#346
ليعرفون ثم ليعبدون على~82#2643#203#278
ليعزها به لأنه أهل~87#3488#390#422
ليعطوهم ما يصلح حالهم~56#1587#56#90
ليعطي العامل بهذا وإن~87#3084#147#18
ليعطيك في أمتك ما~82#2770#124#405
ليعطيهم إنماسأل لهم ليثيبهم~87#3850#318#337
ليعطيهم نصيبهم من الأنس~87#3459#264#393
ليعظ الناس ناداه ملكاه~90#4355#120#370
ليعظمواويرفعوا كما قال الله~87#3321#174#255
ليعقوب عليه السلام ما~82#1980#159#67,87#3559#121#46
ليعل ان انهاضه من~63#1725#105#167
ليعلم أن الجنايات لا~82#2603#22#238
ليعلم أن العبادات وإن~82#2407#265#42
ليعلم أن الله سلطه~41#1054#142#143
ليعلم أن النعيم هو~82#2363#34#450
ليعلم أن محل الحوادث~41#1278#110#367
ليعلم أهله علم ما~87#3928#88#415
ليعلم الحق منك ما~82#1978#116#65
ليعلم الناس ما علم~7#123#193#12
ليعلم بذلك نقص الخلق~82#1988#107#75
ليعلم ذلك قبل الوقوع~87#3945#183#432
ليعلم علما أو يتعلمه~87#3773#335#260
ليعلم ما تكن صدورهم~82#2461#155#96
ليعلمني شيئا كان أهم~87#3632#234#119
ليعلمه أن المنة له~82#2534#224#169
ليعلمه علما بعد القول~82#2615#241#250
ليعلمها ذلك وليغنيها بذلك~87#3928#78#415
ليعلموا أن النصر من~82#2171#111#258
ليعلموا أن قليلا من~82#2540#132#175
ليعلموا بذلك عجزهم عن~82#1943#139#30
ليعلموا عند إتيانهم المعاصي~39#752#9#71
ليعلموا ويردوا الخلق إلى~87#3718#15#205
ليعمل العمل في السر~25#235#112#10
ليعمل بعمل أهل الجنة~82#2251#28#338,87#3389#380#323,87#3444#200#378
ليعمل بعمل أهل النار~82#2251#50#338
ليعمل به فاتخذتم دراسته~87#3316#316#250
ليعمل به وقال الضحاك~87#3305#155#239
ليعمل في الكفارات لقوله~87#3370#180#304
ليعملوا به فاتخذوا دراسته~87#3173#380#107
ليعينه على طاعة مولاه~40#850#79#46
ليغان على قلبي 'وقال~82#2616#137#251
ليغان على قلبي حتى~90#4149#73#155,90#4177#35#183
ليغان على قلبي فأستغفر~25#241#65#16,90#4208#208#214
ليغان على قلبيقوله تعالى~82#2765#49#400
ليغتر ويسبغ عليه النعم~87#3228#15#162
ليغتسل فخرجت روحه وهو~41#1131#111#220
ليغذيهم من المعارف وهم~82#1968#51#55
ليغر غيره بها ولا~87#3948#216#435
ليغرف بذلك فيصير بعد~60#1673#16#471
ليغزر به علمه فذلك~87#3315#428#249
ليغسل فلا بأس وغسل~87#3943#212#430
ليغسل يده فامتنع فقال~87#3818#264#305
ليغسلك من درن الخطايا~3#112#52#237
ليغضب إذا مدح الفاسق~87#3948#128#435
ليغفر لك الله ما~82#2619#94#254,82#2619#146#254,82#2619#179#254,25#303#82#78
ليغفر لكم * [الآية~82#2255#67#342
ليغفر لكم من ذنوبكم~82#2255#8#342
ليغفر لكم ومن كفر~82#2455#249#90
ليغفر له جميع الكبائر~87#3084#157#18
ليغفر لهم وفي لفظ~87#3434#23#368
ليغفر لهم ولا ليهديهم~87#3252#162#186
ليغفر لي جهالاتي القديمة~78#1875#222#48
ليغفرلك الله ما تقدم~87#3423#279#357
ليغفرن الله تعالى يوم~87#3435#6#369
ليغنيه بالاستغناء به كما~41#1107#81#196
ليغنيهم به عن غيرهقوله~82#1989#47#76
ليغنيهم ويكفيهم فهو في~87#3944#191#431
ليغيب عن المنكر ويكون~87#3588#520#75
ليغيب عن شواهد أوائلها~82#2616#278#251
ليغير لهم سابق مشيئته~87#3572#303#59
ليف عليه إكاف من~90#4269#178#275
ليف وأولم على أحد~87#3927#138#414
ليفالخشوع الانقياد للحقوالتواضع هو~90#4269#182#275
ليفتتح سورة فتصلي عليه~87#3173#206#107
ليفتتح سورة فتلعنه حتى~87#3173#216#107
ليفتضحوا في دعاويهم عند~82#2014#132#101
ليفتقر وقد قال بعض~87#3504#63#438
ليفتنوا به الخلققوله تعالى~82#2043#4#130
ليفتي في مسألة لو~87#3296#365#230
ليفر من جبين عمر~25#305#41#80
ليفرح بهذا أو يستعمله~83#2814#13#43
ليفرغ قلبه في صلاته~87#3688#347#175
ليفرغ منها لأنها تشغله~44#1435#60#39
ليفرق به بين الحق~82#2423#34#58
ليفرق به شعره فقالت~87#3787#110#274
ليفسده عليه ولو بعد~37#533#11#142
ليفسر الآية الواحدة على~30#351#107#11
ليفصلا بينهما فقد نهى~87#3864#340#351
ليفضل بقيامه ويسلم في~87#3853#42#340
ليفعل ابن آدم مثل~20#189#181#154
ليفعل ثم أتاه آت~87#3087#52#21
ليفقال تعالى يا يحيي~90#4548#34#563
ليفقال هون الله عليك~90#4539#294#554
ليفهم المعنوي الذي سلك~61#1701#45#182
ليفهم عنه بعلمه الذي~87#3154#340#88
ليفهمه من لم يفهم~39#701#185#20
ليفيده باطن العلم أو~87#3229#235#163
ليقال يحيى تعلم ما~82#2102#27#189
ليقبض منه الوجل وينشر~87#3228#36#162
ليقبل شهادته فقال له~87#3860#247#347
ليقبل عليك ويواليك وقال~90#4403#64#418
ليقبل مع ما يدعيه~67#1779#34#45
ليقبله لم يقبله واختار~37#528#141#137
